RK,TIERS,PLAYER NAME,TEAM,POS,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
113,9,Brian Robinson Jr.,WAS,RB27,26,102,121,113.4,6.3,-
114,9,Isiah Pacheco,KC,RB28,26,80,157,113.9,17.4,-
115,9,James Conner,ARI,RB29,30,90,142,116.8,12.6,-
116,9,Calvin Ridley,TEN,WR48,30,105,130,117.2,6.5,-
117,9,Geno Smith,LV,QB28,34,73,121,98.9,10.5,-
118,9,Jauan Jennings,SF,WR49,28,96,140,121.3,11.9,-
119,9,Travis Kelce,KC,TE13,35,73,167,122,21.8,-
120,9,Deebo Samuel Sr.,WAS,WR50,29,98,158,122.8,14.1,-
121,9,Tyrone Tracy Jr.,NYG,RB30,25,89,164,123.4,20.4,-
122,9,Jakobi Meyers,LV,WR51,28,114,138,123.8,6.2,-
123,9,Cam Skattebo,NYG,RB31,23,91,168,126.4,20.5,-
124,9,Kyle Pitts,ATL,TE14,24,94,159,127.5,15.1,-
125,9,Aaron Jones Sr.,MIN,RB32,30,98,163,127.5,19,-
126,9,Keon Coleman,BUF,WR52,22,98,180,128.4,19,-
127,9,Darnell Mooney,ATL,WR53,27,112,162,131.3,10.2,-
128,9,Matthew Stafford,LAR,QB29,37,86,178,111.2,21.9,-
129,9,Travis Etienne Jr.,JAC,RB33,26,109,154,133,13.9,-
130,9,Jalen McMillan,TB,WR54,23,109,158,133.8,12.6,-
131,9,Stefon Diggs,NE,WR55,31,122,165,136.8,10.4,-
132,9,Jack Bech,LV,WR56,22,116,166,137.7,13.4,-
133,9,Najee Harris,LAC,RB34,27,102,170,138.6,17.2,-
134,9,Dallas Goedert,PHI,TE15,30,94,173,139.2,20.7,-
135,9,Isaiah Likely,BAL,TE16,25,120,188,139.5,18.9,-
136,9,Cooper Kupp,SEA,WR57,32,113,169,139.7,15.6,-
137,9,Zach Charbonnet,SEA,RB35,24,111,166,140.4,16.6,-
138,10,Rashid Shaheed,NO,WR58,26,128,173,142.1,10.8,-
139,10,Trey Benson,ARI,RB36,23,82,185,142.7,23.7,-
140,10,Kyle Williams,NE,WR59,22,111,182,143.6,15.8,-
